elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1771815985.3715518,1345507,17,0,0,1,0.0,24.60897842756548,0.24608978427565478
0.033,1771815985.4045517,1345540,13,0,0,1,0.0,22.278867046136735,0.46641755689426556
0.066,1771815985.4375517,1345573,18,0,0,1,0.0,25.105450102066122,0.7128078823459841
0.099,1771815985.4705517,1345606,18,0,0,1,0.0,25.105450102066122,0.9567343045431855
0.132,1771815985.5035517,1345639,15,0,0,1,0.0,23.521825181113627,1.18238521330889
0.165,1771815985.5365517,1345672,15,0,0,1,0.0,23.521825181113627,1.4057796129869373
0.198,1771815985.5695517,1345705,21,0,0,1,0.0,26.444385894678387,1.6561656758038519
0.231,1771815985.6025517,1345738,22,0,0,1,0.0,26.848453616444125,1.9080885552102547
0.264,1771815985.6355517,1345771,22,0,0,1,0.0,26.848453616444125,2.157492205822593
0.297,1771815985.6685517,1345804,18,0,0,1,0.0,25.105450102066122,2.3869717847850285
0.33,1771815985.7015517,1345837,17,0,0,1,0.0,24.60897842756548,2.6091918512128327
0.363,1771815985.7345517,1345870,20,0,0,1,0.0,26.020599913279625,2.8433059318335006
0.396,1771815985.767552,1345903,17,0,0,1,0.0,24.60897842756548,3.0609626567908204
0.429,1771815985.800552,1345936,15,0,0,1,0.0,23.521825181113627,3.265571282034048
0.462,1771815985.833552,1345969,16,0,0,1,0.0,24.082399653118497,3.4737395657448924
0.495,1771815985.8665519,1346002,16,0,0,1,0.0,24.082399653118497,3.6798261666186285
0.528,1771815985.8995519,1346035,18,0,0,1,0.0,25.105450102066122,3.8940824059731036
0.561,1771815985.9325519,1346068,14,0,0,1,0.0,22.92256071356476,4.08436718904902
0.594,1771815985.9655519,1346101,17,0,0,1,0.0,24.60897842756548,4.289613301434184
0.627,1771815985.9985518,1346134,16,0,0,1,0.0,24.082399653118497,4.487541164951028
0.66,1771815986.0315518,1346167,16,0,0,1,0.0,24.082399653118497,4.683489749832703
0.693,1771815986.0645518,1346200,16,0,0,1,0.0,24.082399653118497,4.877478848865562
0.726,1771815986.0975518,1346233,16,0,0,1,0.0,24.082399653118497,5.069528056908092
0.759,1771815986.1305518,1346266,15,0,0,1,0.0,23.521825181113627,5.254051028150147
0.792,1771815986.1635518,1346299,26,0,0,1,0.0,28.29946695941636,5.484505187462809
0.825,1771815986.1965518,1346332,18,0,0,1,0.0,25.105450102066122,5.680714636608842
0.858,1771815986.2295518,1346365,15,0,0,1,0.0,23.521825181113627,5.85912574205389
0.891,1771815986.2625518,1346398,17,0,0,1,0.0,24.60897842756548,6.046624268909006
