elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1772083895.5921097,26661,12,0,0,1,0.0,21.5836249209525,0.215836249209525
0.05,1772083895.6421096,26711,10,0,0,1,0.0,20.0,0.4136778867174298
0.1,1772083895.6921096,26761,9,0,0,1,0.0,19.084850188786497,0.6003896097381205
0.15,1772083895.7421098,26811,8,0,0,1,0.0,18.06179973983887,0.775003711039128
0.2,1772083895.7921097,26861,10,0,0,1,0.0,20.0,0.9672536739287367
0.25,1772083895.8421097,26911,8,0,0,1,0.0,18.06179973983887,1.1381991345878382
0.3,1772083895.8921096,26961,11,0,0,1,0.0,20.827853703164504,1.335095680273605
0.35,1772083895.9421096,27011,20,0,0,1,0.0,26.020599913279625,1.581950722603665
0.4,1772083895.9921098,27061,16,0,0,1,0.0,24.082399653118497,1.8069552119088133
0.45,1772083896.0421097,27111,13,0,0,1,0.0,22.278867046136735,2.0116743302510924
0.5,1772083896.0921097,27161,9,0,0,1,0.0,19.084850188786497,2.1824060888364465
0.55,1772083896.1421096,27211,9,0,0,1,0.0,19.084850188786497,2.351430529835947
0.6,1772083896.1921096,27261,10,0,0,1,0.0,20.0,2.5279162245375875
0.65,1772083896.2421098,27311,10,0,0,1,0.0,20.0,2.7026370622922116
0.7,1772083896.2921097,27361,10,0,0,1,0.0,20.0,2.8756106916692894
0.75,1772083896.3421097,27411,11,0,0,1,0.0,20.827853703164504,3.0551331217842415
0.8,1772083896.3921096,27461,11,0,0,1,0.0,20.827853703164504,3.232860327598044
0.85,1772083896.4421096,27511,9,0,0,1,0.0,19.084850188786497,3.3913802262099284
0.9,1772083896.4921098,27561,13,0,0,1,0.0,22.278867046136735,3.580255094409196
0.95,1772083896.5421097,27611,11,0,0,1,0.0,20.827853703164504,3.752731080496749
1.0,1772083896.5921097,27661,10,0,0,1,0.0,20.0,3.915203769691782
1.05,1772083896.6421096,27711,9,0,0,1,0.0,19.084850188786497,4.06690023388273
1.1,1772083896.6921096,27761,9,0,0,1,0.0,19.084850188786497,4.217079733431768
1.15,1772083896.7421098,27811,10,0,0,1,0.0,20.0,4.374908936097451
1.201,1772083896.7931097,27862,8,0,0,1,0.0,18.06179973983887,4.511777844134865
1.251,1772083896.8431096,27912,12,0,0,1,0.0,21.5836249209525,4.682496314903041
1.301,1772083896.8931096,27962,10,0,0,1,0.0,20.0,4.83567135175401
1.351,1772083896.9431098,28012,8,0,0,1,0.0,18.06179973983887,4.967932635634859
1.401,1772083896.9931097,28062,7,0,0,1,0.0,16.901960800285135,5.0872729172813616
1.451,1772083897.0431097,28112,10,0,0,1,0.0,20.0,5.236400188108548
1.501,1772083897.0931096,28162,8,0,0,1,0.0,18.06179973983887,5.364654183625851
1.551,1772083897.1431096,28212,9,0,0,1,0.0,19.084850188786497,5.5018561436774585
1.601,1772083897.1931098,28262,7,0,0,1,0.0,16.901960800285135,5.615857190243535
1.651,1772083897.2431097,28312,9,0,0,1,0.0,19.084850188786497,5.750547120228965
1.701,1772083897.2931097,28362,9,0,0,1,0.0,19.084850188786497,5.8838901509145405
1.751,1772083897.3431096,28412,9,0,0,1,0.0,19.084850188786497,6.015899751293261
1.801,1772083897.3931096,28462,10,0,0,1,0.0,20.0,6.155740753780328
1.851,1772083897.4431098,28512,9,0,0,1,0.0,19.084850188786497,6.28503184813039
1.901,1772083897.4931097,28562,11,0,0,1,0.0,20.827853703164504,6.430460066680731
1.951,1772083897.5431097,28612,11,0,0,1,0.0,20.827853703164504,6.574434003045568
2.001,1772083897.5931096,28662,18,0,0,1,0.0,25.105450102066122,6.759744164035774
2.051,1772083897.6431096,28712,22,0,0,1,0.0,26.848453616444125,6.960631258559857
2.101,1772083897.6931098,28762,22,0,0,1,0.0,26.848453616444125,7.1595094821387
2.151,1772083897.7431097,28812,30,0,0,1,0.0,29.54242509439325,7.383338638261246
2.201,1772083897.7931097,28862,21,0,0,1,0.0,26.444385894678387,7.573949110825417
2.251,1772083897.8431096,28912,11,0,0,1,0.0,20.827853703164504,7.706488156748808
2.301,1772083897.8931096,28962,17,0,0,1,0.0,24.60897842756548,7.875513059456974
2.351,1772083897.9431098,29012,17,0,0,1,0.0,24.60897842756548,8.042847713138059
2.401,1772083897.9931097,29062,11,0,0,1,0.0,20.827853703164504,8.170697773038324
2.451,1772083898.0431097,29112,11,0,0,1,0.0,20.827853703164504,8.297269332339587
2.501,1772083898.0931096,29162,10,0,0,1,0.0,20.0,8.41429663901619
2.551,1772083898.1431096,29212,10,0,0,1,0.0,20.0,8.530153672626026
2.601,1772083898.1931098,29262,12,0,0,1,0.0,21.5836249209525,8.66068838510929
2.651,1772083898.2431097,29312,12,0,0,1,0.0,21.5836249209525,8.789917750467723
2.701,1772083898.2931097,29362,10,0,0,1,0.0,20.0,8.902018572963044
2.751,1772083898.3431096,29412,11,0,0,1,0.0,20.827853703164504,9.02127692426506
2.801,1772083898.3931096,29462,9,0,0,1,0.0,19.084850188786497,9.121912656910274
2.851,1772083898.4431098,29512,10,0,0,1,0.0,20.0,9.23069353034117
2.901,1772083898.4931097,29562,13,0,0,1,0.0,22.278867046136735,9.361175265499126
2.951,1772083898.5431097,29612,13,0,0,1,0.0,22.278867046136735,9.490352183305502
3.001,1772083898.5931096,29662,13,0,0,1,0.0,22.278867046136735,9.618237331933814
3.051,1772083898.6431096,29712,11,0,0,1,0.0,20.827853703164504,9.730333495646121
3.101,1772083898.6931098,29762,10,0,0,1,0.0,20.0,9.83303016068966
3.151,1772083898.7431097,29812,9,0,0,1,0.0,19.084850188786497,9.925548360970629
3.201,1772083898.7931097,29862,14,0,0,1,0.0,22.92256071356476,10.05551848449657
3.251,1772083898.8431096,29912,12,0,0,1,0.0,21.5836249209525,10.17079954886113
3.301,1772083898.8931096,29962,16,0,0,1,0.0,24.082399653118497,10.309915549903703
3.351,1772083898.9431098,30012,51,0,0,1,0.0,34.15140352195873,10.548330429624253
3.401,1772083898.9931097,30062,17,0,0,1,0.0,24.60897842756548,10.688936909603665
3.451,1772083899.0431097,30112,10,0,0,1,0.0,20.0,10.782047540507628
3.501,1772083899.0931096,30162,9,0,0,1,0.0,19.084850188786497,10.865075566990418
3.551,1772083899.1431096,30212,33,0,0,1,0.0,30.370278797557752,11.060127599296091
3.601,1772083899.1931098,30262,37,0,0,1,0.0,31.3640344813399,11.26316666811653
3.651,1772083899.2431097,30312,40,0,0,1,0.0,32.04119982655924,11.470946999700956
3.701,1772083899.2931097,30362,18,0,0,1,0.0,25.105450102066122,11.607292030724608
3.751,1772083899.3431096,30412,10,0,0,1,0.0,20.0,11.69121911041736
3.801,1772083899.3931096,30462,12,0,0,1,0.0,21.5836249209525,11.790143168522713
3.851,1772083899.4431098,30512,13,0,0,1,0.0,22.278867046136735,11.895030407298853
3.901,1772083899.4931097,30562,10,0,0,1,0.0,20.0,11.976080103225863
3.951,1772083899.5431097,30612,8,0,0,1,0.0,18.06179973983887,12.036937299591994
4.001,1772083899.5931096,30662,12,0,0,1,0.0,21.5836249209525,12.132404175805599
4.051,1772083899.6431096,30712,10,0,0,1,0.0,20.0,12.211080134047542
4.102,1772083899.6941097,30763,11,0,0,1,0.0,20.827853703164504,12.297247869738712
4.152,1772083899.7441096,30813,10,0,0,1,0.0,20.0,12.374275391041325
4.202,1772083899.7941096,30863,9,0,0,1,0.0,19.084850188786497,12.441381139018777
4.252,1772083899.8441098,30913,9,0,0,1,0.0,19.084850188786497,12.507815829516455
4.302,1772083899.8941097,30963,15,0,0,1,0.0,23.521825181113627,12.617955923032428
4.352,1772083899.9441097,31013,11,0,0,1,0.0,20.827853703164504,12.700054900833749
4.402,1772083899.9941096,31063,13,0,0,1,0.0,22.278867046136735,12.795843022286778
4.452,1772083900.0441096,31113,11,0,0,1,0.0,20.827853703164504,12.876163129095556
4.502,1772083900.0941098,31163,11,0,0,1,0.0,20.827853703164504,12.955680034836245
4.552,1772083900.1441097,31213,14,0,0,1,0.0,22.92256071356476,13.05534884162353
4.602,1772083900.1941097,31263,12,0,0,1,0.0,21.5836249209525,13.14063160241682
4.652,1772083900.2441096,31313,11,0,0,1,0.0,20.827853703164504,13.217503823424297
4.702,1772083900.2941096,31363,10,0,0,1,0.0,20.0,13.285328785190053
