elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1772085199.3651094,434548,8,4,5086,1,40000.0,18.06179973983887,0.1806179973983887
0.05,1772085199.4151094,434598,26,4,5086,1,0.0,28.29946695941636,0.1806179973983887
0.1,1772085199.4651093,434648,25,4,5086,1,0.0,27.958800173440753,0.1806179973983887
0.15,1772085199.5151093,434698,11,4,5086,1,0.0,20.827853703164504,0.1806179973983887
0.2,1772085199.5651093,434748,12,4,5086,1,0.0,21.5836249209525,0.1806179973983887
0.25,1772085199.6151094,434798,10,4,5086,1,0.0,20.0,0.1806179973983887
0.3,1772085199.6651094,434848,10,4,5086,1,0.0,20.0,0.1806179973983887
0.35,1772085199.7151093,434898,9,4,5086,1,0.0,19.084850188786497,1.6950327784142913
0.4,1772085199.7651093,434948,10,4,5086,1,0.0,20.0,1.8780824506301483
0.45,1772085199.8151093,434998,10,4,5086,1,0.0,20.0,2.059301626123847
0.5,1772085199.8651094,435048,10,4,5086,1,0.0,20.0,2.238708609862609
0.55,1772085199.9151094,435098,10,4,5086,1,0.0,20.0,2.416321523763983
0.6,1772085199.9651093,435148,9,4,5086,1,0.0,19.084850188786497,2.583006810414208
0.65,1772085200.0151093,435198,8,4,5086,1,0.0,18.06179973983887,2.7377947397084545
0.7,1772085200.0651093,435248,10,4,5086,1,0.0,20.0,2.91041679231137
0.75,1772085200.1151094,435298,9,4,5086,1,0.0,19.084850188786497,3.072161126276121
0.8,1772085200.1651094,435348,10,4,5086,1,0.0,20.0,3.24143951501336
0.85,1772085200.2151093,435398,9,4,5086,1,0.0,19.084850188786497,3.3998736217510914
0.9,1772085200.2651093,435448,7,4,5086,1,0.0,16.901960800285135,3.5348944935364317
0.951,1772085200.3161094,435499,7,4,5086,1,0.0,16.901960800285135,3.6685651566039184
1.001,1772085200.3661094,435549,8,4,5086,1,0.0,18.06179973983887,3.8124975024362677
1.051,1772085200.4161093,435599,8,4,5086,1,0.0,18.06179973983887,3.9549905248102935
1.101,1772085200.4661093,435649,8,4,5086,1,0.0,18.06179973983887,4.09605861696058
1.151,1772085200.5161092,435699,16,4,5086,1,0.0,24.082399653118497,4.29592202732216
1.201,1772085200.5661094,435749,14,4,5086,1,0.0,22.92256071356476,4.482188414184586
1.251,1772085200.6161094,435799,14,4,5086,1,0.0,22.92256071356476,4.666592137178388
1.301,1772085200.6661093,435849,8,4,5086,1,0.0,18.06179973983887,4.800544213204993
1.351,1772085200.7161093,435899,8,4,5086,1,0.0,18.06179973983887,4.933156768471331
1.401,1772085200.7661092,435949,7,4,5086,1,0.0,16.901960800285135,5.0528448087894695
1.451,1772085200.8161094,435999,9,4,5086,1,0.0,19.084850188786497,5.19316486258944
1.501,1772085200.8661094,436049,9,4,5086,1,0.0,19.084850188786497,5.3320817158514116
1.551,1772085200.9161093,436099,8,4,5086,1,0.0,18.06179973983887,5.459378896091286
1.601,1772085200.9661093,436149,9,4,5086,1,0.0,19.084850188786497,5.595633609018238
1.651,1772085201.0161092,436199,12,4,5086,1,0.0,21.5836249209525,5.755513522137581
1.701,1772085201.0661094,436249,12,4,5086,1,0.0,21.5836249209525,5.91379463612573
1.751,1772085201.1161094,436299,9,4,5086,1,0.0,19.084850188786497,6.045505191652338
1.801,1772085201.1661093,436349,12,4,5086,1,0.0,21.5836249209525,6.20088638894534
1.851,1772085201.2161093,436399,11,4,5086,1,0.0,20.827853703164504,6.347156062087531
1.901,1772085201.2661092,436449,9,4,5086,1,0.0,19.084850188786497,6.47453300335452
1.951,1772085201.3161094,436499,9,4,5086,1,0.0,19.084850188786497,6.60063617520884
2.001,1772085201.3661094,436549,11,4,5086,1,0.0,20.827853703164504,6.742908350488396
2.051,1772085201.4161093,436599,10,4,5086,1,0.0,20.0,6.875479266983513
2.101,1772085201.4661093,436649,9,4,5086,1,0.0,19.084850188786497,6.9975729762015435
2.151,1772085201.5161092,436699,7,4,5086,1,0.0,16.901960800285135,7.096616854442379
2.201,1772085201.5661094,436749,11,4,5086,1,0.0,20.827853703164504,7.2339292229296
2.251,1772085201.6161094,436799,7,4,5086,1,0.0,16.901960800285135,7.330609538703155
2.301,1772085201.6661093,436849,10,4,5086,1,0.0,20.0,7.457303443316124
2.351,1772085201.7161093,436899,11,4,5086,1,0.0,20.827853703164504,7.5910089459146075
2.402,1772085201.7671094,436950,8,4,5086,1,0.0,18.06179973983887,7.69571685385385
2.452,1772085201.8171093,437000,9,4,5086,1,0.0,19.084850188786497,7.809608187203176
2.502,1772085201.8671093,437050,8,4,5086,1,0.0,18.06179973983887,7.912130102729533
2.552,1772085201.9171093,437100,9,4,5086,1,0.0,19.084850188786497,8.023857303590102
2.602,1772085201.9671094,437150,11,4,5086,1,0.0,20.827853703164504,8.151897267585847
2.652,1772085202.0171094,437200,9,4,5086,1,0.0,19.084850188786497,8.261226796797853
2.702,1772085202.0671093,437250,10,4,5086,1,0.0,20.0,8.378614528829873
2.752,1772085202.1171093,437300,11,4,5086,1,0.0,20.827853703164504,8.50310692057322
2.802,1772085202.1671093,437350,6,4,5086,1,0.0,15.563025007672874,8.573706101444218
2.852,1772085202.2171094,437400,8,4,5086,1,0.0,18.06179973983887,8.668587037828166
2.902,1772085202.2671094,437450,10,4,5086,1,0.0,20.0,8.781901167449883
2.952,1772085202.3171093,437500,8,4,5086,1,0.0,18.06179973983887,8.874700153173773
3.002,1772085202.3671093,437550,11,4,5086,1,0.0,20.827853703164504,8.99423168867368
3.052,1772085202.4171093,437600,9,4,5086,1,0.0,19.084850188786497,9.09513787367481
3.102,1772085202.4671094,437650,10,4,5086,1,0.0,20.0,9.204186494938062
3.152,1772085202.5171094,437700,14,4,5086,1,0.0,22.92256071356476,9.341370237124329
3.202,1772085202.5671093,437750,10,4,5086,1,0.0,20.0,9.447956534753084
3.252,1772085202.6171093,437800,10,4,5086,1,0.0,20.0,9.553476969405553
3.302,1772085202.6671093,437850,11,4,5086,1,0.0,20.827853703164504,9.666220736743144
3.352,1772085202.7171094,437900,8,4,5086,1,0.0,18.06179973983887,9.750176526774101
3.402,1772085202.7671094,437950,13,4,5086,1,0.0,22.278867046136735,9.875463431967727
3.452,1772085202.8171093,438000,11,4,5086,1,0.0,20.827853703164504,9.984987334679696
3.502,1772085202.8671093,438050,10,4,5086,1,0.0,20.0,10.085137461332899
3.552,1772085202.9171093,438100,7,4,5086,1,0.0,16.901960800285135,10.153305694722421
3.602,1772085202.9671094,438150,7,4,5086,1,0.0,16.901960800285135,10.22079224577805
3.652,1772085203.0171094,438200,9,4,5086,1,0.0,19.084850188786497,10.309432825208134
3.702,1772085203.0671093,438250,8,4,5086,1,0.0,18.06179973983887,10.386956494354441
3.752,1772085203.1171093,438300,8,4,5086,1,0.0,18.06179973983887,10.463704926809287
3.802,1772085203.1671093,438350,8,4,5086,1,0.0,18.06179973983887,10.539685874939584
3.852,1772085203.2171094,438400,8,4,5086,1,0.0,18.06179973983887,10.614907013588578
3.902,1772085203.2671094,438450,9,4,5086,1,0.0,19.084850188786497,10.699606445340557
3.952,1772085203.3171093,438500,10,4,5086,1,0.0,20.0,10.792610380887151
4.002,1772085203.3671093,438550,8,4,5086,1,0.0,18.06179973983887,10.865302274476669
4.052,1772085203.4171093,438600,10,4,5086,1,0.0,20.0,10.956649251731902
4.102,1772085203.4671094,438650,11,4,5086,1,0.0,20.827853703164504,11.055361296246229
4.152,1772085203.5171094,438700,9,4,5086,1,0.0,19.084850188786497,11.135656185171632
4.202,1772085203.5671093,438750,9,4,5086,1,0.0,19.084850188786497,11.215148125207781
4.252,1772085203.6171093,438800,13,4,5086,1,0.0,22.278867046136735,11.325785314417072
4.302,1772085203.6671093,438850,10,4,5086,1,0.0,20.0,11.4125274612729
4.352,1772085203.7171094,438900,12,4,5086,1,0.0,21.5836249209525,11.514238435869697
4.402,1772085203.7671094,438950,8,4,5086,1,0.0,18.06179973983887,11.57971404890939
4.452,1772085203.8171093,439000,9,4,5086,1,0.0,19.084850188786497,11.65476541030816
4.502,1772085203.8671093,439050,13,4,5086,1,0.0,22.278867046136735,11.761006426666446
4.552,1772085203.9171093,439100,8,4,5086,1,0.0,18.06179973983887,11.824014359798172
4.602,1772085203.9671094,439150,7,4,5086,1,0.0,16.901960800285135,11.874793824203042
4.652,1772085204.0171094,439200,8,4,5086,1,0.0,18.06179973983887,11.936663883359401
4.702,1772085204.0671093,439250,8,4,5086,1,0.0,18.06179973983887,11.997915241924197
4.752,1772085204.1171093,439300,9,4,5086,1,0.0,19.084850188786497,12.06878459139282
4.802,1772085204.1671093,439350,14,4,5086,1,0.0,22.92256071356476,12.17732235261454
4.852,1772085204.2171094,439400,12,4,5086,1,0.0,21.5836249209525,12.27138537829792
4.902,1772085204.2671094,439450,14,4,5086,1,0.0,22.92256071356476,12.377897131650588
4.952,1772085204.3171093,439500,14,4,5086,1,0.0,22.92256071356476,12.48334376746973
5.002,1772085204.3671093,439550,16,4,5086,1,0.0,24.082399653118497,12.599334326326218
