elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1771895467.8070757,177090,13,0,0,1,0.0,22.278867046136735,0.22278867046136736
0.033,1771895467.8400757,177123,15,0,0,1,0.0,23.521825181113627,0.45577903556788996
0.066,1771895467.8730757,177156,14,0,0,1,0.0,22.92256071356476,0.6804468523478586
0.099,1771895467.9060757,177189,13,0,0,1,0.0,22.278867046136735,0.8964310542857474
0.132,1771895467.9390757,177222,11,0,0,1,0.0,20.827853703164504,1.095745280774535
0.165,1771895467.972076,177255,15,0,0,1,0.0,23.521825181113627,1.3200060797779258
0.198,1771895468.005076,177288,14,0,0,1,0.0,22.92256071356476,1.536031626115794
0.231,1771895468.038076,177321,10,0,0,1,0.0,20.0,1.720671309854636
0.264,1771895468.071076,177354,14,0,0,1,0.0,22.92256071356476,1.9326902038917373
0.297,1771895468.104076,177387,16,0,0,1,0.0,24.082399653118497,2.154187298384005
0.33,1771895468.137076,177420,12,0,0,1,0.0,21.5836249209525,2.34848167460969
0.363,1771895468.170076,177453,13,0,0,1,0.0,22.278867046136735,2.5477855283249604
0.396,1771895468.203076,177486,14,0,0,1,0.0,22.92256071356476,2.7515332801773584
0.429,1771895468.2360759,177519,14,0,0,1,0.0,22.92256071356476,2.9532435545112325
0.462,1771895468.2690759,177552,15,0,0,1,0.0,23.521825181113627,3.158929370777256
0.495,1771895468.3020759,177585,13,0,0,1,0.0,22.278867046136735,3.3501287475308508
0.528,1771895468.3350759,177618,14,0,0,1,0.0,22.92256071356476,3.5458530671911896
0.561,1771895468.3680758,177651,13,0,0,1,0.0,22.278867046136735,3.733183206980645
0.594,1771895468.4010758,177684,16,0,0,1,0.0,24.082399653118497,3.9366753714420235
0.627,1771895468.4340758,177717,14,0,0,1,0.0,22.92256071356476,4.126534224863251
0.66,1771895468.4670758,177750,15,0,0,1,0.0,23.521825181113627,4.320487134425755
0.693,1771895468.5000758,177783,17,0,0,1,0.0,24.60897842756548,4.523372047357152
0.726,1771895468.5330758,177816,14,0,0,1,0.0,22.92256071356476,4.707363934019228
0.759,1771895468.5660758,177849,14,0,0,1,0.0,22.92256071356476,4.889515901814684
0.792,1771895468.5990758,177882,13,0,0,1,0.0,22.278867046136735,5.063409413257904
0.825,1771895468.6320758,177915,13,0,0,1,0.0,22.278867046136735,5.2355639895866934
0.858,1771895468.6650758,177948,14,0,0,1,0.0,22.92256071356476,5.412433956826474
0.891,1771895468.6980758,177981,13,0,0,1,0.0,22.278867046136735,5.581098287719577
0.924,1771895468.7310758,178014,13,0,0,1,0.0,22.278867046136735,5.748075975303749
0.958,1771895468.765076,178048,14,0,0,1,0.0,22.92256071356476,5.91982082268636
0.991,1771895468.798076,178081,16,0,0,1,0.0,24.082399653118497,6.101446610990681
1.024,1771895468.831076,178114,11,0,0,1,0.0,20.827853703164504,6.248710681912419
1.057,1771895468.864076,178147,11,0,0,1,0.0,20.827853703164504,6.39450211212494
1.09,1771895468.897076,178180,12,0,0,1,0.0,21.5836249209525,6.546393340213216
1.123,1771895468.930076,178213,13,0,0,1,0.0,22.278867046136735,6.703718077272452
1.156,1771895468.9630759,178246,13,0,0,1,0.0,22.278867046136735,6.859469566961095
1.189,1771895468.9960759,178279,13,0,0,1,0.0,22.278867046136735,7.013663541752852
1.222,1771895469.0290759,178312,13,0,0,1,0.0,22.278867046136735,7.16631557679669
1.255,1771895469.0620759,178345,11,0,0,1,0.0,20.827853703164504,7.302930958060369
1.288,1771895469.0950758,178378,14,0,0,1,0.0,22.92256071356476,7.459127255615413
1.321,1771895469.1280758,178411,16,0,0,1,0.0,24.082399653118497,7.625359979590444
1.354,1771895469.1610758,178444,12,0,0,1,0.0,21.5836249209525,7.764942629004064
1.387,1771895469.1940758,178477,13,0,0,1,0.0,22.278867046136735,7.9100818731753915
1.42,1771895469.2270758,178510,15,0,0,1,0.0,23.521825181113627,8.066199306254774
1.453,1771895469.2600758,178543,11,0,0,1,0.0,20.827853703164504,8.19381585022387
1.486,1771895469.2930758,178576,14,0,0,1,0.0,22.92256071356476,8.34110329885728
1.519,1771895469.3260758,178609,13,0,0,1,0.0,22.278867046136735,8.480480936330075
