elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered,rain_state,baseline_amp
0.0,1771895292.2226734,1986,4,0,0,1,0.0,12.041199826559248,0.12041199826559248,NO_RAIN,0.0
0.20208001136779785,1771895292.4247534,2019,4,0,0,1,0.0,12.041199826559248,0.23961987654852904,NO_RAIN,0.0
0.26918840408325195,1771895292.4918618,2052,3,0,0,1,0.0,9.542425094393248,0.33264792872697624,NO_RAIN,0.0
0.33782529830932617,1771895292.5604987,2085,4,0,0,1,0.0,12.041199826559248,0.449733447705299,NO_RAIN,0.0
0.3418254852294922,1771895292.564499,2118,3,0,0,1,0.0,9.542425094393248,0.5406603641721786,NO_RAIN,0.0
0.41114068031311035,1771895292.633814,2151,4,0,0,1,0.0,12.041199826559248,0.6556657587960493,NO_RAIN,0.0
0.47220444679260254,1771895292.6948779,2184,2,0,0,1,0.0,6.020599913279624,0.709315100340885,NO_RAIN,0.0
0.5294644832611084,1771895292.752138,2217,5,0,0,1,0.0,13.979400086720377,0.8420159502046798,NO_RAIN,0.0
0.5816054344177246,1771895292.8042789,2250,6,0,0,1,0.0,15.563025007672874,0.9892260407793617,NO_RAIN,0.0
0.6340281963348389,1771895292.8567016,2283,4,0,0,1,0.0,12.041199826559248,1.0997457786371605,NO_RAIN,0.0
0.6819546222686768,1771895292.904628,2316,4,0,0,1,0.0,12.041199826559248,1.2091603191163813,NO_RAIN,0.0
0.7344264984130859,1771895292.9571,2349,4,0,0,1,0.0,12.041199826559248,1.31748071419081,NO_RAIN,0.0
0.7839322090148926,1771895293.0066056,2382,5,0,0,1,0.0,13.979400086720377,1.4440999079161057,NO_RAIN,0.0
0.8396744728088379,1771895293.062348,2415,4,0,0,1,0.0,12.041199826559248,1.5500709071025371,NO_RAIN,0.0
0.8923187255859375,1771895293.1149921,2448,4,0,0,1,0.0,12.041199826559248,1.6549821962971043,NO_RAIN,0.0
0.9435269832611084,1771895293.1662004,2481,3,0,0,1,0.0,9.542425094393248,1.7338566252780656,NO_RAIN,0.0
0.9945251941680908,1771895293.2171986,2514,5,0,0,1,0.0,13.979400086720377,1.8563120598924887,NO_RAIN,0.0
1.0470736026763916,1771895293.269747,2547,3,0,0,1,0.0,9.542425094393248,1.9331731902374962,NO_RAIN,0.0
1.1002802848815918,1771895293.3229537,2580,3,0,0,1,0.0,9.542425094393248,2.009265709279054,NO_RAIN,0.0
1.1463935375213623,1771895293.369067,2613,3,0,0,1,0.0,9.542425094393248,2.0845973031301956,NO_RAIN,0.3919669851567785
1.1975231170654297,1771895293.4201965,2646,3,0,0,1,0.0,9.542425094393248,2.1591755810428266,NO_RAIN,0.41009780432684495
1.2515339851379395,1771895293.4742074,2679,4,0,0,1,0.0,12.041199826559248,2.257995823497991,NO_RAIN,0.4280473153052107
1.305180549621582,1771895293.527854,2712,3,0,0,1,0.0,9.542425094393248,2.330840116206944,NO_RAIN,0.44599682628357645
1.3590779304504395,1771895293.5817513,2745,3,0,0,1,0.0,9.542425094393248,2.402955965988807,NO_RAIN,0.4687668421521586
1.4054808616638184,1771895293.6281543,2778,5,0,0,1,0.0,13.979400086720377,2.5187204071961227,NO_RAIN,0.49153685802074065
1.460059642791748,1771895293.682733,2811,5,0,0,1,0.0,13.979400086720377,2.633327203991365,NO_RAIN,0.5090791737306369
1.5174055099487305,1771895293.740079,2844,3,0,0,1,0.0,9.542425094393248,2.702418182895384,NO_RAIN,0.5266214894405332
1.568566083908081,1771895293.7912395,2877,4,0,0,1,0.0,12.041199826559248,2.7958059993320226,NO_RAIN,0.5439883819933305
1.627734661102295,1771895293.850408,2910,3,0,0,1,0.0,9.542425094393248,2.863272190282635,NO_RAIN,0.5613552745461279
1.6886870861053467,1771895293.9113605,2944,5,0,0,1,0.0,13.979400086720377,2.9744334692470122,NO_RAIN,0.5735484981733973
1.7402052879333496,1771895293.9628787,2977,4,0,0,1,0.0,12.041199826559248,3.0651011328201347,NO_RAIN,0.5857417218006666
1.7972886562347412,1771895294.019962,3010,5,0,0,1,0.0,13.979400086720377,3.1742441223591373,NO_RAIN,0.6078130131916633
1.861945390701294,1771895294.0846188,3043,5,0,0,1,0.0,13.979400086720377,3.28229568200275,NO_RAIN,0.62988430458266
