elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1772072129.7819774,343242,14,41,1133,1,40000.0,22.92256071356476,0.2292256071356476
0.033,1772072129.8149774,343275,21,41,1133,1,0.0,26.444385894678387,0.2292256071356476
0.066,1772072129.8479774,343308,17,41,1133,1,0.0,24.60897842756548,0.2292256071356476
0.132,1772072129.9139774,343374,19,41,1133,1,0.0,25.575072019056577,0.22922560713564763
0.165,1772072129.9469774,343407,19,41,1133,1,0.0,25.575072019056577,0.2292256071356476
0.297,1772072130.0789773,343539,12,41,1133,1,0.0,21.5836249209525,0.2292256071356476
0.33,1772072130.1119773,343572,18,41,1133,1,0.0,25.105450102066122,0.22922560713564763
0.363,1772072130.1449773,343605,16,41,1133,1,0.0,24.082399653118497,1.891387675133423
0.396,1772072130.1779773,343638,21,41,1133,1,0.0,26.444385894678387,2.1369176573288726
0.462,1772072130.2439773,343704,17,41,1133,1,0.0,24.60897842756548,2.3616382650312384
0.495,1772072130.2769773,343737,17,41,1133,1,0.0,24.60897842756548,2.5841116666565807
0.561,1772072130.3429773,343803,18,41,1133,1,0.0,25.105450102066122,2.809325051010676
0.594,1772072130.3759773,343836,14,41,1133,1,0.0,22.92256071356476,3.010457407636217
0.627,1772072130.4089773,343869,17,41,1133,1,0.0,24.60897842756548,3.2264426178355095
0.66,1772072130.4419773,343902,17,41,1133,1,0.0,24.60897842756548,3.4402679759328088
0.694,1772072130.4759774,343936,15,41,1133,1,0.0,23.521825181113627,3.641083547984617
0.727,1772072130.5089774,343969,18,41,1133,1,0.0,25.105450102066122,3.855727213525432
0.76,1772072130.5419774,344002,19,41,1133,1,0.0,25.575072019056577,4.072920661580744
0.793,1772072130.5749774,344035,16,41,1133,1,0.0,24.082399653118497,4.273015451496121
0.826,1772072130.6079774,344068,18,41,1133,1,0.0,25.105450102066122,4.481339798001821
0.859,1772072130.6409774,344101,16,41,1133,1,0.0,24.082399653118497,4.677350396552988
0.991,1772072130.7729774,344233,13,41,1133,1,0.0,22.278867046136735,4.853365563048826
1.024,1772072130.8059773,344266,15,41,1133,1,0.0,23.521825181113627,5.040050159229474
1.057,1772072130.8389773,344299,15,41,1133,1,0.0,23.521825181113627,5.2248679094483155
1.189,1772072130.9709773,344431,13,41,1133,1,0.0,22.278867046136735,5.3954079008152
1.222,1772072131.0039773,344464,13,41,1133,1,0.0,22.278867046136735,5.5642424922684155
1.255,1772072131.0369773,344497,22,41,1133,1,0.0,26.848453616444125,5.777084603510172
1.453,1772072131.2349772,344695,18,41,1133,1,0.0,25.105450102066122,5.970368258495731
1.585,1772072131.3669772,344827,21,41,1133,1,0.0,26.444385894678387,6.175108434857558
1.618,1772072131.3999772,344860,22,41,1133,1,0.0,26.848453616444125,6.381841886673424
1.651,1772072131.4329772,344893,19,41,1133,1,0.0,25.575072019056577,6.573774187997255
1.684,1772072131.4659774,344926,16,41,1133,1,0.0,24.082399653118497,6.748860442648468
1.718,1772072131.4999774,344960,13,41,1133,1,0.0,22.278867046136735,6.904160508683351
1.751,1772072131.5329773,344993,19,41,1133,1,0.0,25.575072019056577,7.090869623787083
1.949,1772072131.7309773,345191,20,41,1133,1,0.0,26.020599913279625,7.280166926682008
1.982,1772072131.7639773,345224,22,41,1133,1,0.0,26.848453616444125,7.475849793579629
2.015,1772072131.7969773,345257,15,41,1133,1,0.0,23.521825181113627,7.636309547454968
2.048,1772072131.8299773,345290,20,41,1133,1,0.0,26.020599913279625,7.8201524511132146
2.081,1772072131.8629773,345323,18,41,1133,1,0.0,25.105450102066122,7.993005427622744
2.114,1772072131.8959773,345356,18,41,1133,1,0.0,25.105450102066122,8.164129874367177
2.147,1772072131.9289773,345389,19,41,1133,1,0.0,25.575072019056577,8.338239295814072
2.18,1772072131.9619772,345422,21,41,1133,1,0.0,26.444385894678387,8.519300761802715
2.213,1772072131.9949772,345455,18,41,1133,1,0.0,25.105450102066122,8.685162255205348
2.345,1772072132.1269772,345587,21,41,1133,1,0.0,26.444385894678387,8.862754491600079
2.378,1772072132.1599772,345620,19,41,1133,1,0.0,25.575072019056577,9.029877666874643
2.411,1772072132.1929774,345653,19,41,1133,1,0.0,25.575072019056577,9.195329610396463
2.642,1772072132.4239774,345884,17,41,1133,1,0.0,24.60897842756548,9.349466098568154
2.675,1772072132.4569774,345917,15,41,1133,1,0.0,23.521825181113627,9.49118968939361
2.708,1772072132.4899774,345950,17,41,1133,1,0.0,24.60897842756548,9.642367576775328
2.742,1772072132.5239773,345984,17,41,1133,1,0.0,24.60897842756548,9.792033685283231
2.775,1772072132.5569773,346017,17,41,1133,1,0.0,24.60897842756548,9.940203132706054
2.94,1772072132.7219772,346182,20,41,1133,1,0.0,26.020599913279625,10.10100710051179
2.973,1772072132.7549772,346215,19,41,1133,1,0.0,25.575072019056577,10.255747749697237
3.006,1772072132.7879772,346248,20,41,1133,1,0.0,26.020599913279625,10.413396271333061
3.039,1772072132.8209772,346281,22,41,1133,1,0.0,26.848453616444125,10.577746844784173
3.072,1772072132.8539772,346314,16,41,1133,1,0.0,24.082399653118497,10.712793372867516
3.105,1772072132.8869772,346347,14,41,1133,1,0.0,22.92256071356476,10.834891046274489
3.138,1772072132.9199774,346380,15,41,1133,1,0.0,23.521825181113627,10.961760387622881
3.171,1772072132.9529774,346413,16,41,1133,1,0.0,24.082399653118497,11.092966780277838
3.204,1772072132.9859774,346446,12,41,1133,1,0.0,21.5836249209525,11.197873361684584
3.534,1772072133.3159773,346776,22,41,1133,1,0.0,26.848453616444125,11.35437916423218
3.567,1772072133.3489773,346809,18,41,1133,1,0.0,25.105450102066122,11.49188987361052
3.6,1772072133.3819773,346842,14,41,1133,1,0.0,22.92256071356476,11.606196582010062
3.732,1772072133.5139773,346974,22,41,1133,1,0.0,26.848453616444125,11.758619152354402
3.766,1772072133.5479772,347008,19,41,1133,1,0.0,25.575072019056577,11.896783681021423
3.799,1772072133.5809772,347041,15,41,1133,1,0.0,23.521825181113627,12.013034096022347
3.832,1772072133.6139772,347074,21,41,1133,1,0.0,26.444385894678387,12.157347614008907
3.865,1772072133.6469774,347107,27,41,1133,1,0.0,28.62727528317975,12.322046890700616
3.898,1772072133.6799774,347140,18,41,1133,1,0.0,25.105450102066122,12.449880922814271
3.931,1772072133.7129774,347173,29,41,1133,1,0.0,29.24795995797912,12.617861713165919
3.964,1772072133.7459774,347206,20,41,1133,1,0.0,26.020599913279625,12.751889095167057
3.997,1772072133.7789774,347239,12,41,1133,1,0.0,21.5836249209525,12.840206453424912
4.294,1772072134.0759773,347536,11,41,1133,1,0.0,20.827853703164504,12.920082925922308
4.327,1772072134.1089773,347569,20,41,1133,1,0.0,26.020599913279625,13.051088095795881
4.492,1772072134.2739773,347734,14,41,1133,1,0.0,22.92256071356476,13.149802821973571
4.525,1772072134.3069773,347767,21,41,1133,1,0.0,26.444385894678387,13.282748652700619
4.558,1772072134.3399773,347800,65,41,1133,1,0.0,36.25826713285711,13.512503837502184
4.591,1772072134.3729773,347833,34,41,1133,1,0.0,30.629578340845104,13.683674582535613
4.624,1772072134.4059772,347866,20,41,1133,1,0.0,26.020599913279625,13.807043835843054
4.69,1772072134.4719772,347932,52,41,1133,1,0.0,34.32006687269598,14.012174066211582
4.723,1772072134.5049772,347965,21,41,1133,1,0.0,26.444385894678387,14.13649618449625
4.756,1772072134.5379772,347998,31,41,1133,1,0.0,29.827233876685455,14.293403561418144
4.79,1772072134.5719774,348032,22,41,1133,1,0.0,26.848453616444125,14.418954061968403
4.823,1772072134.6049774,348065,10,41,1133,1,0.0,20.0,14.474764521348717
4.856,1772072134.6379774,348098,13,41,1133,1,0.0,22.278867046136735,14.552805546596598
