elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.3716764450073242,1771461594.7286096,549,28,0,0,1,0.0,28.943160626844385,0.28943160626844383
0.3757157325744629,1771461594.7326488,599,83,0,0,1,0.0,38.38156184752148,0.6703529086809743
0.47977447509765625,1771461594.8367076,649,52,0,0,1,0.0,34.32006687269598,1.0068500483211245
0.5795648097991943,1771461594.936498,699,62,0,0,1,0.0,35.84783378996508,1.355259885737564
0.5795648097991943,1771461594.936498,749,38,0,0,1,0.0,31.595671932336202,1.6576640062035504
0.5795648097991943,1771461594.936498,799,46,0,0,1,0.0,33.25515663363148,1.9736389324778296
0.6830456256866455,1771461595.0399787,849,35,0,0,1,0.0,30.881360887005513,2.2627161520231063
0.6830456256866455,1771461595.0399787,899,29,0,0,1,0.0,29.24795995797912,2.5325685900826667
0.6830456256866455,1771461595.0399787,949,32,0,0,1,0.0,30.102999566398122,2.808272899845821
0.7825777530670166,1771461595.1395109,999,42,0,0,1,0.0,32.46498580795801,3.104840028926943
1.051800012588501,1771461595.4087331,1049,90,0,0,1,0.0,39.0848501887865,3.4646401305255385
1.0538201332092285,1771461595.4107533,1149,40,0,0,1,0.0,32.04119982655924,3.7504057274858758
1.0538201332092285,1771461595.4107533,1199,37,0,0,1,0.0,31.3640344813399,4.0265420150244156
1.0899624824523926,1771461595.4468956,1249,43,0,0,1,0.0,32.66936911159173,4.3129702859900885
1.0899624824523926,1771461595.4468956,1299,69,0,0,1,0.0,36.776981814745106,4.637610401277638
1.0899624824523926,1771461595.4468956,1349,51,0,0,1,0.0,34.15140352195873,4.932748332484449
1.1944496631622314,1771461595.5513828,1399,57,0,0,1,0.0,35.11749711344983,5.2345958202941025
1.297649621963501,1771461595.6545827,1449,58,0,0,1,0.0,35.268559871258745,5.534935460803749
1.297649621963501,1771461595.6545827,1499,80,0,0,1,0.0,38.06179973983887,5.8602041035941
1.297649621963501,1771461595.6545827,1549,51,0,0,1,0.0,34.15140352195873,6.143116097777746
1.4040005207061768,1771461595.7609336,1599,59,0,0,1,0.0,35.417040232842886,6.4358553391283975
1.5062994956970215,1771461595.8632326,1649,47,0,0,1,0.0,33.44195715871435,6.705916357324257
1.5062994956970215,1771461595.8632326,1699,56,0,0,1,0.0,34.96376054012401,6.988494799152254
1.5062994956970215,1771461595.8632326,1750,38,0,0,1,0.0,31.595671932336202,7.234566570484093
1.6016039848327637,1771461595.958537,1800,65,0,0,1,0.0,36.25826713285711,7.524803576107823
1.7042529582977295,1771461596.061186,1850,37,0,0,1,0.0,31.3640344813399,7.763195885160144
1.7042529582977295,1771461596.061186,1900,33,0,0,1,0.0,30.370278797557752,7.98926671428412
1.7042529582977295,1771461596.061186,1950,53,0,0,1,0.0,34.48551739201578,8.254229221061436
1.8084073066711426,1771461596.1653404,2000,33,0,0,1,0.0,30.370278797557752,8.475389716826399
1.9095606803894043,1771461596.2664938,2050,65,0,0,1,0.0,36.25826713285711,8.753218490986706
2.000253915786743,1771461596.357187,2100,64,0,0,1,0.0,36.12359947967774,9.026922300873617
2.000253915786743,1771461596.357187,2150,40,0,0,1,0.0,32.04119982655924,9.257065076130473
2.011932134628296,1771461596.3688653,2200,49,0,0,1,0.0,33.80392160057027,9.502533641374871
2.118603229522705,1771461596.4755363,2250,30,0,0,1,0.0,29.54242509439325,9.702932555905056
2.118603229522705,1771461596.4755363,2300,42,0,0,1,0.0,32.46498580795801,9.930553088425585
2.118603229522705,1771461596.4755363,2350,38,0,0,1,0.0,31.595671932336202,10.14720427686469
2.218989372253418,1771461596.5759225,2400,43,0,0,1,0.0,32.66936911159173,10.37242592521196
2.329146385192871,1771461596.6860795,2450,29,0,0,1,0.0,29.24795995797912,10.56118126553963
2.329146385192871,1771461596.6860795,2500,49,0,0,1,0.0,33.80392160057027,10.793608668889936
2.4234890937805176,1771461596.7804222,2550,27,0,0,1,0.0,28.62727528317975,10.971945335032833
2.51505708694458,1771461596.8719902,2600,50,0,0,1,0.0,33.979400086720375,11.20201988254971
2.51505708694458,1771461596.8719902,2650,56,0,0,1,0.0,34.96376054012401,11.439637289125452
2.5336058139801025,1771461596.890539,2700,72,0,0,1,0.0,37.14664992862537,11.69670741552045
2.5336058139801025,1771461596.890539,2750,37,0,0,1,0.0,31.3640344813399,11.893380686178643
2.6283419132232666,1771461596.985275,2800,59,0,0,1,0.0,35.417040232842886,12.128617281645285
2.6283419132232666,1771461596.985275,2850,52,0,0,1,0.0,34.32006687269598,12.350531777555792
2.729640007019043,1771461597.0865731,2900,33,0,0,1,0.0,30.370278797557752,12.530729247755811
2.729640007019043,1771461597.0865731,2950,76,0,0,1,0.0,37.61627184561583,12.781584673734411
2.8396432399749756,1771461597.1965764,3000,80,0,0,1,0.0,38.06179973983887,13.034386824395456
2.8396432399749756,1771461597.1965764,3050,50,0,0,1,0.0,33.979400086720375,13.243836957018706
2.960827112197876,1771461597.3177602,3100,63,0,0,1,0.0,35.986810989071635,13.471266697339235
2.960827112197876,1771461597.3177602,3150,68,0,0,1,0.0,36.650178254124725,13.70305581290709
3.045900821685791,1771461597.402834,3200,39,0,0,1,0.0,31.821292140529984,13.884238176183318
3.045900821685791,1771461597.402834,3250,49,0,0,1,0.0,33.80392160057027,14.083435010427188
3.045900821685791,1771461597.402834,3300,44,0,0,1,0.0,32.86905352972375,14.271291195620153
3.1482961177825928,1771461597.5052292,3350,56,0,0,1,0.0,34.96376054012401,14.47821588906519
