elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered,tip_interval_s,tip_valid,bucket_intensity_mm_hr,saturation_flag,interval_rms,calib_pair_used,pair_quality_reason,intensity_mic_mm_hr,intensity_fused_mm_hr,intensity_mode
0.0,1773031164.6937556,14592814,24,4,3161773,1,0.03814315575469839,27.60422483423212,0.2760422483423212,3161.773,True,0.03814315575469839,False,0.0,False,too_few_samples,0.0,0.03814315575469839,UNCALIBRATED
0.049,1773031164.7427557,14592863,12,4,3161773,1,0.0,21.5836249209525,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.099,1773031164.7927558,14592913,13,4,3161773,1,0.0,22.278867046136735,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.149,1773031164.8427558,14592963,20,4,3161773,1,0.0,26.020599913279625,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.199,1773031164.8927557,14593013,14,4,3161773,1,0.0,22.92256071356476,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.248,1773031164.9417558,14593062,13,4,3161773,1,0.0,22.278867046136735,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.299,1773031164.9927557,14593113,14,4,3161773,1,0.0,22.92256071356476,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.349,1773031165.0427558,14593163,12,4,3161773,1,0.0,21.5836249209525,0.2760422483423212,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.399,1773031165.0927558,14593213,12,4,3161773,1,0.0,21.5836249209525,2.00363741690157,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.448,1773031165.1417558,14593262,14,4,3161773,1,0.0,22.92256071356476,2.212826649868202,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.498,1773031165.1917558,14593312,14,4,3161773,1,0.0,22.92256071356476,2.4199239905051675,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.548,1773031165.2417557,14593362,13,4,3161773,1,0.0,22.278867046136735,2.618513421061483,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.599,1773031165.2927558,14593413,16,4,3161773,1,0.0,24.082399653118497,2.833152283382053,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.648,1773031165.3417556,14593462,15,4,3161773,1,0.0,23.521825181113627,3.040039012359369,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.698,1773031165.3917558,14593512,13,4,3161773,1,0.0,22.278867046136735,3.2324272926971425,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.748,1773031165.4417558,14593562,11,4,3161773,1,0.0,20.827853703164504,3.408381556801816,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.798,1773031165.4917557,14593612,13,4,3161773,1,0.0,22.278867046136735,3.597086411695165,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.847,1773031165.5407557,14593661,11,4,3161773,1,0.0,20.827853703164504,3.7693940846098584,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.898,1773031165.5917556,14593712,18,4,3161773,1,0.0,25.105450102066122,3.982754644784421,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.948,1773031165.6417558,14593762,11,4,3161773,1,0.0,20.827853703164504,4.151205635368222,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
0.998,1773031165.6917558,14593812,17,4,3161773,1,0.0,24.60897842756548,4.355783363290194,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.047,1773031165.7407558,14593861,11,4,3161773,1,0.0,20.827853703164504,4.520504066688937,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.097,1773031165.7907557,14593911,15,4,3161773,1,0.0,23.521825181113627,4.710517277833183,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.147,1773031165.8407557,14593961,14,4,3161773,1,0.0,22.92256071356476,4.892637712190499,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.198,1773031165.8917558,14594012,13,4,3161773,1,0.0,22.278867046136735,5.066500005529962,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.247,1773031165.9407558,14594061,12,4,3161773,1,0.0,21.5836249209525,5.231671254684188,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.297,1773031165.9907558,14594111,12,4,3161773,1,0.0,21.5836249209525,5.395190791346871,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.347,1773031166.0407557,14594161,15,4,3161773,1,0.0,23.521825181113627,5.576457135244539,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.397,1773031166.0907557,14594211,14,4,3161773,1,0.0,22.92256071356476,5.749918171027741,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.446,1773031166.1397557,14594260,14,4,3161773,1,0.0,22.92256071356476,5.9216445964531115,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.497,1773031166.1907558,14594311,11,4,3161773,1,0.0,20.827853703164504,6.070706687520225,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.547,1773031166.2407558,14594361,14,4,3161773,1,0.0,22.92256071356476,6.239225227780671,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.597,1773031166.2907557,14594411,11,4,3161773,1,0.0,20.827853703164504,6.385111512534509,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.646,1773031166.3397558,14594460,14,4,3161773,1,0.0,22.92256071356476,6.550486004544812,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.696,1773031166.3897557,14594510,11,4,3161773,1,0.0,20.827853703164504,6.693259681531009,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.747,1773031166.4407558,14594561,14,4,3161773,1,0.0,22.92256071356476,6.855552691851346,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.797,1773031166.4907558,14594611,14,4,3161773,1,0.0,22.92256071356476,7.016222772068481,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.846,1773031166.5397558,14594660,14,4,3161773,1,0.0,22.92256071356476,7.175286151483444,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.896,1773031166.5897558,14594710,14,4,3161773,1,0.0,22.92256071356476,7.332758897104258,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.946,1773031166.6397557,14594760,18,4,3161773,1,0.0,25.105450102066122,7.510485809153876,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
1.996,1773031166.6897557,14594810,15,4,3161773,1,0.0,23.521825181113627,7.670599202873474,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.046,1773031166.7397556,14594860,14,4,3161773,1,0.0,22.92256071356476,7.8231188179803866,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.096,1773031166.7897558,14594910,14,4,3161773,1,0.0,22.92256071356476,7.974113236936231,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.146,1773031166.8397558,14594960,11,4,3161773,1,0.0,20.827853703164504,8.102650641598514,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.196,1773031166.8897557,14595010,14,4,3161773,1,0.0,22.92256071356476,8.250849742318175,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.245,1773031166.9387558,14595059,16,4,3161773,1,0.0,24.082399653118497,8.409165241426178,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.295,1773031166.9887557,14595109,18,4,3161773,1,0.0,25.105450102066122,8.576128090032578,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.346,1773031167.0397558,14595160,12,4,3161773,1,0.0,21.5836249209525,8.706203058341778,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.396,1773031167.0897558,14595210,20,4,3161773,1,0.0,26.020599913279625,8.879347026891157,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.445,1773031167.1387558,14595259,14,4,3161773,1,0.0,22.92256071356476,9.019779163757894,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.495,1773031167.1887558,14595309,14,4,3161773,1,0.0,22.92256071356476,9.158806979255964,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.545,1773031167.2387557,14595359,14,4,3161773,1,0.0,22.92256071356476,9.296444516599053,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.595,1773031167.2887557,14595409,18,4,3161773,1,0.0,25.105450102066122,9.454534572453722,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.645,1773031167.3387558,14595459,13,4,3161773,1,0.0,22.278867046136735,9.582777897190553,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.695,1773031167.3887558,14595509,15,4,3161773,1,0.0,23.521825181113627,9.722168370029785,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.745,1773031167.4387558,14595559,18,4,3161773,1,0.0,25.105450102066122,9.876001187350148,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.795,1773031167.4887557,14595609,12,4,3161773,1,0.0,21.5836249209525,9.993077424686172,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
2.844,1773031167.5377557,14595658,14,4,3161773,1,0.0,22.92256071356476,10.122372257574959,0.0,False,0.0,False,0.0,False,,0.0,0.0,UNCALIBRATED
