elapsed_s,unix_ts,arduino_ms,sound_amp,tip_count,last_tip_dt_ms,reed_state,bucket_rate_mm_hr,mic_db_unfiltered,mic_db_filtered
0.0,1771550737.031889,4390057,21,4,3378,1,40000.0,26.444385894678387,0.26444385894678385
0.033,1771550737.064889,4390090,26,4,3378,1,0.0,28.29946695941636,0.26444385894678385
0.066,1771550737.097889,4390123,23,4,3378,1,0.0,27.234556720351858,0.26444385894678385
0.099,1771550737.130889,4390156,27,4,3378,1,0.0,28.62727528317975,0.26444385894678385
0.132,1771550737.163889,4390189,26,4,3378,1,0.0,28.29946695941636,0.26444385894678385
0.165,1771550737.196889,4390222,17,4,3378,1,0.0,24.60897842756548,0.26444385894678385
0.198,1771550737.2298892,4390255,20,4,3378,1,0.0,26.020599913279625,0.26444385894678385
0.231,1771550737.2628891,4390288,22,4,3378,1,0.0,26.848453616444125,0.26444385894678385
0.264,1771550737.2958891,4390321,19,4,3378,1,0.0,25.575072019056577,0.26444385894678385
0.297,1771550737.3288891,4390354,20,4,3378,1,0.0,26.020599913279625,0.26444385894678385
0.33,1771550737.3618891,4390387,22,4,3378,1,0.0,26.848453616444125,0.26444385894678385
0.363,1771550737.394889,4390420,17,4,3378,1,0.0,24.60897842756548,3.0215397514753395
0.396,1771550737.427889,4390453,18,4,3378,1,0.0,25.105450102066122,3.2423788549812476
0.429,1771550737.460889,4390486,22,4,3378,1,0.0,26.848453616444125,3.478439602595876
0.462,1771550737.493889,4390519,17,4,3378,1,0.0,24.60897842756548,3.689744990845572
0.495,1771550737.526889,4390552,24,4,3378,1,0.0,27.60422483423212,3.9288897892794377
0.528,1771550737.559889,4390585,22,4,3378,1,0.0,26.848453616444125,4.158085427551084
0.561,1771550737.592889,4390618,20,4,3378,1,0.0,26.020599913279625,4.37671057240837
0.594,1771550737.625889,4390651,17,4,3378,1,0.0,24.60897842756548,4.579033250959941
0.627,1771550737.658889,4390684,19,4,3378,1,0.0,25.575072019056577,4.788993638640907
0.66,1771550737.691889,4390717,17,4,3378,1,0.0,24.60897842756548,4.987193486530153
0.693,1771550737.724889,4390750,20,4,3378,1,0.0,26.020599913279625,5.1975275507976475
0.727,1771550737.758889,4390784,16,4,3378,1,0.0,24.082399653118497,5.386376271820857
0.76,1771550737.791889,4390817,17,4,3378,1,0.0,24.60897842756548,5.578602293378303
0.793,1771550737.824889,4390850,23,4,3378,1,0.0,27.234556720351858,5.795161837648038
0.826,1771550737.857889,4390883,21,4,3378,1,0.0,26.444385894678387,6.001654078218341
0.859,1771550737.890889,4390916,15,4,3378,1,0.0,23.521825181113627,6.176855789247294
0.892,1771550737.923889,4390949,21,4,3378,1,0.0,26.444385894678387,6.3795310903016045
0.925,1771550737.9568892,4390982,25,4,3378,1,0.0,27.958800173440753,6.595323781132996
0.958,1771550737.9898891,4391015,20,4,3378,1,0.0,26.020599913279625,6.789576542454462
0.991,1771550738.0228891,4391048,19,4,3378,1,0.0,25.575072019056577,6.977431497220483
1.024,1771550738.0558891,4391081,26,4,3378,1,0.0,28.29946695941636,7.190651851842442
1.057,1771550738.0888891,4391114,21,4,3378,1,0.0,26.444385894678387,7.383189192270801
1.09,1771550738.121889,4391147,18,4,3378,1,0.0,25.105450102066122,7.560411801368754
1.123,1771550738.154889,4391180,18,4,3378,1,0.0,25.105450102066122,7.735862184375727
1.156,1771550738.187889,4391213,17,4,3378,1,0.0,24.60897842756548,7.904593346807625
1.189,1771550738.220889,4391246,16,4,3378,1,0.0,24.082399653118497,8.066371409870733
1.222,1771550738.253889,4391279,21,4,3378,1,0.0,26.444385894678387,8.250151554718808
1.255,1771550738.286889,4391312,21,4,3378,1,0.0,26.444385894678387,8.432093898118405
1.288,1771550738.319889,4391345,21,4,3378,1,0.0,26.444385894678387,8.612216818084004
1.321,1771550738.352889,4391378,18,4,3378,1,0.0,25.105450102066122,8.777149150923826
1.354,1771550738.385889,4391411,18,4,3378,1,0.0,25.105450102066122,8.940432160435249
1.387,1771550738.418889,4391444,17,4,3378,1,0.0,24.60897842756548,9.097117623106552
